,id_1,id_2,score,edge_type
0,124,511,0.18849370010128555,ingr-ingr
1,473,305,0.14771292203641254,ingr-ingr
2,589,163,0.17106588101892736,ingr-ingr
3,111,227,0.09921515832228048,ingr-ingr
4,403,26,0.024908766314194468,ingr-ingr
5,540,553,0.17745430542830706,ingr-ingr
6,64,114,0.1710668022136603,ingr-ingr
7,318,395,0.18700051423875733,ingr-ingr
8,330,215,0.14971596576639926,ingr-ingr
9,449,296,0.21023328282838905,ingr-ingr
10,67,137,0.0787952736132425,ingr-ingr
11,30,287,0.2787473837848442,ingr-ingr
12,309,204,0.23345457444726386,ingr-ingr
13,275,84,0.13801719470858284,ingr-ingr
14,191,597,0.16078084031390674,ingr-ingr
15,74,300,0.2480460749507022,ingr-ingr
16,84,125,0.2192466955442128,ingr-ingr
17,579,226,0.0833853891719491,ingr-ingr
18,427,369,0.25863403765898074,ingr-ingr
19,356,169,0.19530848536000636,ingr-ingr
20,87,459,0.1256023033051825,ingr-ingr
21,551,120,0.3102533281213468,ingr-ingr
22,165,397,0.1821916773430408,ingr-ingr
23,203,214,0.2295448913635788,ingr-ingr
24,111,449,0.15076094983758562,ingr-ingr
25,132,218,0.2602762190397874,ingr-ingr
26,62,31,0.09817244232009936,ingr-ingr
27,392,103,0.17616389120184253,ingr-ingr
28,377,559,0.2768845902399344,ingr-ingr
29,473,124,0.1517916665273401,ingr-ingr
30,492,168,0.01592794414624689,ingr-ingr
31,40,569,0.17372862562208094,ingr-ingr
32,94,396,0.17771472507182734,ingr-ingr
33,477,540,0.16413533635881472,ingr-ingr
34,223,40,0.21504957152491727,ingr-ingr
35,511,233,0.15293324412092374,ingr-ingr
36,449,251,0.4390839432664757,ingr-ingr
37,123,396,0.27860451610308684,ingr-ingr
38,30,584,0.1889801123379107,ingr-ingr
39,400,417,0.2578230485919615,ingr-ingr
40,18,543,0.1518554717918179,ingr-ingr
41,274,390,0.2142419628595309,ingr-ingr
42,368,501,0.1986608507614044,ingr-ingr
43,169,228,0.14734452918263796,ingr-ingr
44,354,184,0.1275491516576106,ingr-ingr
45,264,176,0.12998269933016804,ingr-ingr
46,564,27,0.08824002723231296,ingr-ingr
47,137,458,0.10040712100521168,ingr-ingr
48,142,177,0.34261720959257386,ingr-ingr
49,39,29,0.17510415166723176,ingr-ingr
50,327,143,0.12066668124797345,ingr-ingr
51,482,212,0.4633884094745978,ingr-ingr
52,155,38,0.14001710628510106,ingr-ingr
53,374,430,0.09120083482895923,ingr-ingr
54,447,237,0.2244089942451484,ingr-ingr
55,434,83,0.2636013004958853,ingr-ingr
56,363,187,0.22157319289422067,ingr-ingr
57,435,195,0.1281816842809402,ingr-ingr
58,505,366,0.25922154488055066,ingr-ingr
59,204,553,0.2024800558488236,ingr-ingr
60,40,258,0.21718814401239905,ingr-ingr
61,373,110,0.12023268749783456,ingr-ingr
62,246,148,0.2904544314324916,ingr-ingr
63,411,321,0.1642307837078861,ingr-ingr
64,83,447,0.18490354055172128,ingr-ingr
65,472,337,0.2296901645870771,ingr-ingr
66,610,75,0.0939933749569272,ingr-ingr
67,222,157,0.19044196386685885,ingr-ingr
68,562,294,0.244488643832934,ingr-ingr
69,598,488,0.18941961750027905,ingr-ingr
70,553,185,0.2302428727379245,ingr-ingr
71,535,505,0.15180888447107907,ingr-ingr
72,280,563,0.1530451230723884,ingr-ingr
73,112,440,0.17340163279740647,ingr-ingr
74,226,307,0.14504237703629438,ingr-ingr
75,338,281,0.17220594714753734,ingr-ingr
76,466,482,0.1602789340067403,ingr-ingr
77,193,570,0.17278045805479764,ingr-ingr
78,233,501,0.14656336679791965,ingr-ingr
79,529,192,0.19342008218048984,ingr-ingr
80,396,505,0.14895259941036268,ingr-ingr
81,415,431,0.1388272286283036,ingr-ingr
82,272,183,0.1499047931282698,ingr-ingr
83,201,23,0.22710541925335254,ingr-ingr
84,595,451,0.16895551694890096,ingr-ingr
85,244,147,0.19080806925366028,ingr-ingr
86,26,74,0.20571130422536066,ingr-ingr
87,282,496,0.07650722046753464,ingr-ingr
88,595,309,0.12993813363520446,ingr-ingr
89,177,238,0.4068654341445438,ingr-ingr
90,229,444,0.11042608607484206,ingr-ingr
91,163,431,0.2029095659043152,ingr-ingr
92,426,40,0.1464433044060928,ingr-ingr
93,79,195,0.17727778209004175,ingr-ingr
94,561,320,0.1790407479554892,ingr-ingr
95,390,362,0.06148921280615222,ingr-ingr
96,339,366,0.17222783351669949,ingr-ingr
97,191,599,0.21888009936118705,ingr-ingr
98,141,382,0.14846481738074974,ingr-ingr
99,509,162,0.20032096322416573,ingr-ingr
100,187,162,0.16217850936702669,ingr-ingr
101,504,50,0.19816401569199674,ingr-ingr
102,102,51,0.2331468097225081,ingr-ingr
103,230,196,0.13363682807958555,ingr-ingr
104,68,467,0.16952262087084938,ingr-ingr
105,471,234,0.14976715130201532,ingr-ingr
106,509,19,0.15354465283206295,ingr-ingr
107,250,538,0.21410194308171995,ingr-ingr
108,206,109,0.15668674264446947,ingr-ingr
109,153,359,0.2210303043861988,ingr-ingr
110,300,18,0.2866497432500717,ingr-ingr
111,267,219,0.15870554022453595,ingr-ingr
112,106,449,0.12133503346977233,ingr-ingr
113,159,345,0.12189400955196275,ingr-ingr
114,219,226,0.17740223824838985,ingr-ingr
115,256,104,0.09482919339357636,ingr-ingr
116,419,484,0.2042888537379695,ingr-ingr
117,558,369,0.19635099574172785,ingr-ingr
118,281,459,0.15438903336055634,ingr-ingr
119,323,64,0.21281722104574635,ingr-ingr
120,451,23,0.27431149699338064,ingr-ingr
121,452,356,0.12449349271371987,ingr-ingr
122,181,162,0.15783060898390328,ingr-ingr
123,205,28,0.18069445342637888,ingr-ingr
124,239,64,0.09169857306537982,ingr-ingr
125,134,24,0.187189222188381,ingr-ingr
126,141,331,0.18903137635126002,ingr-ingr
127,48,345,0.0012364545982023296,ingr-ingr
128,195,26,0.4151540634336423,ingr-ingr
129,275,197,0.20450003511812148,ingr-ingr
130,150,82,0.13061957546477113,ingr-ingr
131,471,441,0.3074009334928034,ingr-ingr
132,55,574,0.13527664379081006,ingr-ingr
133,190,259,0.20237181905178156,ingr-ingr
134,247,342,0.3650759184072999,ingr-ingr
135,176,509,0.21132731626255974,ingr-ingr
136,416,332,0.12036142463672225,ingr-ingr
137,53,9,0.14254501256812935,ingr-ingr
