id_1,id_2,score,edge_type
393,410,0.15536510725870673,ingr-ingr
124,511,0.18849370010128555,ingr-ingr
144,229,0.08446738582544815,ingr-ingr
163,323,0.2655929056813061,ingr-ingr
37,358,0.15424262633740546,ingr-ingr
111,227,0.09921515832228048,ingr-ingr
55,417,0.23998814213015576,ingr-ingr
540,553,0.17745430542830706,ingr-ingr
94,178,0.15470192457183266,ingr-ingr
167,362,0.1299694199189902,ingr-ingr
64,114,0.1710668022136603,ingr-ingr
318,395,0.18700051423875733,ingr-ingr
104,115,0.13853881709467614,ingr-ingr
67,137,0.0787952736132425,ingr-ingr
30,287,0.2787473837848442,ingr-ingr
173,304,0.08810627026045731,ingr-ingr
107,494,0.11747743177010594,ingr-ingr
441,501,0.13132222168462582,ingr-ingr
239,549,0.2386054662853407,ingr-ingr
271,567,0.18364599968605044,ingr-ingr
163,550,0.1720065492144528,ingr-ingr
376,509,0.09030033608242084,ingr-ingr
374,536,0.05151022363816411,ingr-ingr
68,467,0.16952262087084938,ingr-ingr
286,430,0.1364882970565066,ingr-ingr
87,459,0.1256023033051825,ingr-ingr
35,234,0.16375841217729886,ingr-ingr
219,601,0.14319870362977732,ingr-ingr
36,177,0.28737720215665985,ingr-ingr
165,397,0.1821916773430408,ingr-ingr
293,344,0.2882252515125984,ingr-ingr
111,449,0.15076094983758562,ingr-ingr
162,422,0.16735896792060195,ingr-ingr
132,218,0.2602762190397874,ingr-ingr
260,407,0.10240745773678572,ingr-ingr
499,505,0.1566327917035096,ingr-ingr
118,487,0.14781502039315098,ingr-ingr
444,590,0.1249548319304774,ingr-ingr
137,164,0.09562920938388228,ingr-ingr
377,559,0.2768845902399344,ingr-ingr
178,520,0.05858945291403302,ingr-ingr
93,463,0.1748397631276359,ingr-ingr
417,574,0.14720554773250724,ingr-ingr
34,548,0.1104116579669093,ingr-ingr
143,506,0.0834172495576114,ingr-ingr
291,453,0.156461858102384,ingr-ingr
40,569,0.17372862562208094,ingr-ingr
94,396,0.17771472507182734,ingr-ingr
477,540,0.16413533635881472,ingr-ingr
167,448,0.18696436835451502,ingr-ingr
116,118,0.1654834181868103,ingr-ingr
284,306,0.15033086885739366,ingr-ingr
155,280,0.1264318824572234,ingr-ingr
211,282,0.07039243380941998,ingr-ingr
218,394,0.13583676481673734,ingr-ingr
123,396,0.27860451610308684,ingr-ingr
30,584,0.1889801123379107,ingr-ingr
90,585,0.07823777368188098,ingr-ingr
400,417,0.2578230485919615,ingr-ingr
169,504,0.25024028514884245,ingr-ingr
221,535,0.13332871142714672,ingr-ingr
368,501,0.1986608507614044,ingr-ingr
21,37,0.10832306580079464,ingr-ingr
60,411,0.08997719246984727,ingr-ingr
184,278,0.1795726503723824,ingr-ingr
99,103,0.10248111754986364,ingr-ingr
183,294,0.17546405061480874,ingr-ingr
137,458,0.10040712100521168,ingr-ingr
142,177,0.34261720959257386,ingr-ingr
115,545,0.1059096497982506,ingr-ingr
46,327,0.10155359483228553,ingr-ingr
183,369,0.22335394943463616,ingr-ingr
11,26,0.2177565308821333,ingr-ingr
205,409,0.2178478939878206,ingr-ingr
152,219,0.1818152580901965,ingr-ingr
136,330,0.1202655553946103,ingr-ingr
210,305,0.16020807305156595,ingr-ingr
49,543,0.12848494088300186,ingr-ingr
